chroma_stft,rmse,spec_cent,spec_bw,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,bouncy,tekno,warzone,industrial,non-techno-drop
0.6940544,0.46756458,3123.90318149397,2990.2298688931487,6894.58835767663,0.12467306385869566,31.608809,54.653538,11.60913,18.838636,5.1594834,19.438692,12.810285,0,0,1,0,0
0.7198188,0.5345528,3350.9306196039474,3207.2170521625158,7464.032353940217,0.10385246829710144,58.345036,51.254097,21.219944,19.466675,6.1523757,22.850058,15.316061,0,0,1,0,0
0.706091,0.4882217,3079.4936556618977,2978.2897466096542,6825.838145380435,0.11973222373188405,48.528328,56.67868,7.850235,19.06755,5.8447967,20.790184,9.07569,0,0,1,0,0
0.71988153,0.5337396,3307.614087485425,3176.639368584664,7382.268597146739,0.10289855072463767,61.799545,51.487453,17.29394,20.022566,8.155136,23.786459,11.884517,0,0,1,0,0
0.6758732,0.45355785,2887.435461757449,2846.0073173350497,6312.505307404891,0.11224382925724638,55.248703,68.35754,4.580824,23.142153,0.39886358,11.872515,7.4229436,0,0,1,0,0
0.71161044,0.50792706,2874.1276473999123,2861.5836832335713,6333.071076766304,0.10095250226449276,71.98133,68.70347,5.120374,24.157297,-3.0557737,13.642801,10.653073,0,0,1,0,0
0.69745016,0.4573963,3454.686808423963,3094.778876437199,7413.632175611413,0.14382218070652175,73.52616,51.618908,9.475237,12.746878,-5.4997606,8.351051,2.0426562,0,0,1,0,0
0.61789966,0.1403739,3236.8147722482904,2804.0152789745034,6594.590268342391,0.20320001132246376,-9.218713,69.48983,-16.50997,1.9314703,-9.275532,-0.633857,4.9323134,0,0,0,0,1
0.6293785,0.18589567,3546.0006466648892,2907.190324620557,7135.01125169837,0.2291907269021739,30.709873,55.598263,-14.185465,-1.4666593,-9.522896,3.1197822,3.1842723,0,0,0,0,1
0.6203267,0.3818129,2865.384430779017,2916.9403700434405,6507.646059782609,0.09683820199275363,-20.590971,52.250046,2.584796,27.075428,11.916256,17.83375,8.745152,0,0,1,0,0
0.63591707,0.4143348,3010.27575416045,2967.339882996031,6664.994480298913,0.09678442028985507,-12.762239,47.512306,7.773769,27.47727,13.251768,22.61016,11.335923,0,0,1,0,0
0.637029,0.4259901,2547.7104230069294,2783.844461889241,5831.316236413043,0.06822633605072463,-24.672758,56.111073,0.7347754,33.943336,17.423763,25.052786,13.077315,0,0,1,0,0
0.49293625,0.13755651,2770.9187130032687,2456.3809341927026,5509.566491168478,0.13010643115942028,-98.717255,68.40204,-33.94233,-8.363121,-15.81051,5.965076,-7.795824,0,0,0,0,1
0.4969104,0.12706448,3881.9044834989445,2903.01831232851,7441.656547214674,0.2517705502717391,-26.295721,32.92442,-12.568784,3.9479642,-11.622138,11.89195,4.421703,0,0,0,0,1
0.60847455,0.19014238,3094.344133010794,2841.1062113426196,6594.153362771739,0.0913482223731884,-69.27293,41.587154,-22.14155,3.638976,-4.9506154,17.696074,11.789869,0,0,0,0,1
0.5848617,0.41190058,2066.564246102042,2444.1574364718967,4488.705417798913,0.06920431385869565,-77.11842,85.69758,10.869116,25.791792,19.352432,23.922049,14.883251,0,0,1,0,0
0.57698417,0.40069726,2478.290578392662,2638.0015152038286,5487.190684442935,0.08177507925724638,-38.363712,65.45577,-3.3046036,23.843948,11.852107,28.001434,14.380367,0,0,1,0,0
0.62079597,0.50400114,2442.1019042515622,2771.132951437012,5699.807659646739,0.049803272192028986,-18.314533,61.37303,3.555254,30.926826,16.71273,29.218428,17.141758,0,0,1,0,0
0.6214247,0.46919635,2888.4746696074117,2943.7399198168982,6508.925568953804,0.06721156023550724,-5.1304965,44.93972,-0.42457628,27.330067,17.778564,32.809216,18.726896,0,0,1,0,0
0.62931144,0.5120853,2502.7234708048954,2812.536534867102,5866.175059442935,0.054349241394927535,-19.051388,52.605934,2.5204384,32.194134,16.744083,28.961863,16.627424,0,0,1,0,0
0.6345021,0.5123106,2681.25358072164,2953.287845896995,6326.299040421196,0.053671308876811596,-15.434652,46.10091,11.31321,38.36794,17.520487,28.985365,12.423127,0,0,1,0,0
0.57003194,0.41325948,2897.1703224439807,3203.3923693673855,7094.909561820652,0.052325350996376814,-21.568933,58.470505,46.912178,38.91183,16.375984,21.790565,-1.7131925,0,0,0,0,0
0.59579396,0.41539192,2420.8123654678343,2833.0319817310724,5885.679772418478,0.04264605978260869,-9.1373625,80.37332,22.129837,31.578264,10.618906,16.857265,1.0930171,0,0,0,0,0
